,Lousic C.K.,Dave Chappelle,Ricky Gervais,Bo Burham,Bill Burr,Jim Jefferies,John Mulaney,Hasan Minhaj,Ali Wong,Anthony Jeselnik,Mike Birbiglia,Joe Rogan
larva,1,0,0,0,0,0,0,0,0,0,0,0
laser,0,0,0,0,0,0,0,0,0,0,0,1
lash,0,0,0,1,0,0,0,0,0,0,0,0
late,1,0,4,1,2,0,2,6,1,0,6,0
lately,0,0,0,0,0,1,1,0,0,0,0,0
later,2,2,3,1,8,1,2,2,0,4,9,1
latin,0,0,0,0,0,0,0,0,1,0,0,0
latina,0,1,0,0,0,0,0,0,1,0,0,0
laugh,0,1,16,2,3,5,2,6,0,7,3,1
laughter,0,0,0,2,0,0,0,0,0,0,0,0
launch,0,0,0,0,0,0,0,0,0,0,0,1
laundry,0,0,0,0,0,0,0,0,0,1,0,0
law,2,3,1,0,1,0,3,1,0,0,4,0
lawn,1,0,0,0,1,0,0,0,0,0,1,1
lawyer,0,0,0,0,0,0,0,0,0,1,6,0
lay,3,0,0,0,1,2,0,3,0,0,0,0
layer,0,1,1,0,0,0,0,0,0,0,0,1
layin,0,0,0,0,1,0,0,0,0,0,0,0
lazy,0,0,0,0,1,1,2,0,0,0,0,0
lbgtq,0,1,0,0,0,0,0,0,0,0,0,0
le,0,0,0,0,0,0,1,0,0,0,0,0
lead,0,0,0,1,0,2,0,1,0,0,2,0
leader,0,4,0,0,0,0,0,1,0,0,0,0
leadership,0,0,0,0,0,0,0,0,1,0,0,0
leaf,0,0,0,0,0,0,0,0,0,0,0,2
league,0,0,0,0,0,0,0,1,2,0,1,0
lean,1,1,0,0,0,0,3,1,3,0,2,0
learn,0,1,3,2,4,3,3,1,3,4,2,2
learning,0,1,0,0,1,0,0,0,0,0,0,0
leave,6,3,10,13,7,7,3,5,6,7,8,7
lecture,0,0,0,0,0,0,0,0,0,1,0,0
ledge,0,0,0,0,1,0,0,0,0,0,0,0
left,0,0,0,7,1,2,0,1,1,0,0,0
leg,4,0,1,1,5,2,0,0,1,0,1,2
legacy,0,2,0,0,0,0,0,0,0,0,0,0
legal,7,1,0,0,0,0,4,0,0,0,0,0
legalize,0,0,0,0,0,0,1,0,0,0,0,0
legally,0,0,1,0,0,1,0,0,0,0,0,0
legend,0,0,1,0,0,0,0,0,0,1,0,0
legendary,0,0,0,0,0,0,0,0,0,0,1,0
legging,0,0,1,0,0,0,0,0,0,0,0,0
legit,0,0,0,0,0,1,0,1,1,0,0,1
legless,0,0,0,0,0,6,0,0,0,0,0,0
lemon,0,0,0,0,0,0,0,1,0,0,0,0
lemonade,0,0,0,0,1,0,0,1,0,0,0,0
length,0,0,1,0,0,0,0,0,0,0,0,0
lentz,0,0,0,0,0,0,1,0,0,0,0,0
leper,0,0,0,0,1,0,0,0,0,0,0,0
lesbian,1,0,0,0,1,0,1,0,2,0,6,0
lesson,0,0,5,2,0,1,1,0,0,2,0,0
let,9,17,13,11,36,13,14,19,7,8,8,10
letter,0,1,0,0,0,1,4,5,0,1,0,1
leukemia,0,0,0,0,0,0,0,0,0,0,1,0
level,0,0,1,1,0,1,0,2,3,0,1,3
lever,0,0,0,0,0,0,0,0,1,0,0,0
leverage,0,0,0,0,0,0,0,1,1,0,0,0
levity,0,2,0,0,0,0,0,0,0,0,0,0
levy,0,0,0,0,0,0,1,0,0,0,0,0
lewinsky,0,0,0,0,1,0,1,0,0,0,0,0
liability,0,0,0,0,0,0,0,1,0,0,0,0
liam,0,0,0,0,0,0,0,1,0,0,0,0
liar,2,0,1,0,0,0,0,0,0,0,2,0
liberal,0,0,1,0,1,0,1,1,0,2,0,0
liberate,0,0,0,0,0,0,0,1,0,0,0,0
liberating,0,0,0,0,0,0,0,1,0,0,0,0
libertarian,0,0,0,0,0,0,0,0,0,0,0,1
liberty,0,0,0,0,0,0,0,1,0,0,0,0
library,0,0,0,0,0,0,3,0,1,0,0,0
license,0,1,0,0,2,0,0,0,0,0,5,0
lick,0,0,0,1,0,1,0,1,0,0,2,0
lie,0,0,7,3,5,5,1,3,3,4,9,6
life,42,7,12,10,20,12,10,28,8,7,9,21
lifechanging,0,1,0,0,0,0,0,0,1,0,0,0
lifetime,0,0,0,0,0,0,1,0,0,0,0,0
lift,0,0,1,1,1,1,1,0,1,0,0,0
light,3,2,1,0,3,1,2,1,2,1,3,3
lightslooking,0,0,0,0,0,0,1,0,0,0,0,0
like,113,103,81,46,202,109,191,220,126,51,236,146
likely,0,0,0,0,0,1,0,0,1,0,0,2
lily,0,0,0,1,0,0,0,0,0,0,0,0
limited,0,0,0,0,0,0,0,0,0,0,1,0
limo,0,0,1,0,0,0,0,0,0,0,0,0
lincoln,0,1,0,0,0,1,0,0,0,0,0,0
line,1,1,3,2,5,2,0,2,0,2,1,2
linen,0,0,0,0,0,0,1,0,0,0,0,0
linus,0,0,0,0,1,0,0,0,0,0,0,0
lion,3,0,5,0,1,0,2,0,0,0,0,0
lip,1,1,2,1,0,0,0,1,0,0,0,3
liquor,0,0,0,0,0,0,0,0,1,1,0,0
lisa,0,0,0,0,0,0,0,0,0,0,8,0
list,0,0,0,5,1,2,5,0,0,0,2,1
listen,5,3,4,4,7,3,0,5,1,0,4,3
listening,0,0,0,0,0,0,0,0,1,0,0,0
literally,2,1,2,0,2,1,0,1,2,0,1,1
little,10,7,32,17,23,18,26,6,9,11,6,15
littleknown,0,1,0,0,0,0,0,0,0,0,0,0
live,16,6,12,5,11,1,1,10,6,9,6,25
livelihood,0,1,0,0,0,0,0,0,0,0,0,0
liver,0,0,1,0,0,0,1,0,0,0,0,1
livid,0,0,0,0,0,0,0,3,0,0,0,0
livin,0,0,0,0,0,0,0,0,0,0,0,2
living,1,1,0,1,3,0,0,3,1,0,1,0
lizard,0,0,0,4,0,0,0,0,0,0,0,0
lmotherfucke,0,0,0,0,0,0,0,1,0,0,0,0
load,0,0,3,0,3,2,0,0,0,0,0,0
loaded,0,0,0,0,1,0,0,0,0,0,0,0
loafer,0,0,0,0,1,0,0,0,0,0,0,0
loan,0,1,0,0,0,0,0,0,0,0,0,0
local,0,1,1,0,0,0,1,0,0,2,0,0
locally,0,0,0,0,1,0,0,0,0,0,0,0
location,1,0,0,0,0,0,0,1,0,0,0,0
lochte,0,0,0,0,0,0,0,1,0,0,0,0
lock,0,2,0,0,0,4,0,1,0,1,0,0
locker,0,0,0,0,0,0,0,1,0,0,1,0
log,0,0,0,1,0,0,0,7,0,0,0,0
logic,0,0,0,1,0,0,0,0,0,0,0,1
logical,0,0,0,1,0,0,0,0,0,0,0,0
logo,2,0,0,0,0,0,0,0,0,0,0,0
lol,0,0,1,0,0,0,0,0,0,0,0,0
london,0,0,0,0,0,1,0,0,0,0,0,0
lone,0,0,0,0,0,0,0,0,0,0,2,0
lonely,0,0,0,0,0,0,0,0,2,0,0,0
loner,0,0,0,0,0,0,0,0,0,0,0,1
long,6,14,8,6,5,3,7,3,2,3,7,2
longevity,0,0,0,0,0,0,0,0,1,0,0,0
loofah,0,0,0,0,0,0,0,0,1,0,0,0
look,25,30,23,12,25,21,25,41,15,2,19,27
loop,0,0,0,0,0,1,0,0,0,0,0,0
loophole,0,0,0,0,0,0,0,0,0,0,0,2
loose,1,0,0,1,0,0,1,0,0,0,0,0
lopez,0,0,0,0,0,0,0,0,0,0,0,2
lord,0,0,0,1,0,0,0,2,2,0,0,0
lori,0,0,0,0,0,0,1,0,0,0,0,0
los,0,1,0,1,2,1,0,0,1,1,4,0
lose,2,1,3,1,1,2,4,4,3,5,4,5
loser,0,0,1,0,2,0,0,0,4,0,1,0
loss,0,0,0,0,0,0,0,0,0,1,2,0
lost,0,0,0,1,0,0,0,0,0,0,0,0
lot,12,20,3,3,7,13,7,7,25,14,7,13
lottery,0,0,0,0,0,0,0,0,0,2,0,0
lou,0,0,0,0,0,0,1,0,0,0,0,0
loud,0,1,1,0,0,0,0,0,0,0,0,0
louder,0,0,0,1,2,0,0,0,0,0,1,0
loudmouthed,0,0,0,0,0,0,0,0,1,0,0,0
lougani,0,0,0,0,1,0,0,0,0,0,0,0
louis,0,0,0,0,0,0,0,0,0,0,2,0
lounge,0,0,0,0,0,1,0,0,0,0,0,0
love,11,7,16,42,19,20,12,37,6,19,12,6
lovebird,0,0,0,0,0,0,0,1,0,0,0,0
lovely,0,0,3,0,0,0,2,1,0,0,0,0
lover,0,0,0,0,0,0,0,1,0,0,0,0
low,0,1,0,1,0,0,0,1,1,1,0,0
loyalty,0,0,0,0,0,0,0,1,0,1,0,0
lsd,0,1,0,0,0,0,0,0,0,0,0,0
lshape,0,0,0,0,1,0,0,0,0,0,0,0
luck,0,1,2,0,0,0,1,0,0,0,0,0
luckily,0,0,0,0,0,0,1,0,0,0,0,0
lucky,2,2,1,1,0,0,1,0,2,1,0,0
lucrative,0,1,0,0,0,0,0,0,0,0,0,0
ludicrous,0,0,1,0,0,0,0,0,0,0,0,0
lull,0,0,0,1,0,0,0,0,0,0,0,0
lululemon,0,0,0,0,0,0,0,0,1,0,0,0
lunch,0,1,0,0,1,0,0,1,1,0,1,0
lung,0,0,1,0,0,0,0,0,1,0,0,0
lunk,0,0,1,0,0,0,0,0,0,0,0,0
lustful,0,0,0,1,0,0,0,0,0,0,0,0
luther,0,2,0,0,0,0,0,0,0,0,0,0
lutheran,0,0,0,0,1,0,0,0,0,0,0,0
luxurious,0,0,1,0,0,0,0,0,0,0,0,0
maam,0,1,0,0,0,0,0,0,0,0,0,0
mac,0,0,0,0,0,0,1,0,0,0,0,0
macaroon,0,1,0,0,0,0,0,0,0,0,0,0
macdonald,0,0,0,2,0,0,0,0,0,0,0,0
macgregor,0,0,0,0,0,0,1,0,0,0,0,0
macgyver,0,0,0,0,0,0,0,0,1,0,0,0
machete,0,0,0,0,0,2,0,0,0,0,0,1
machine,0,0,1,0,0,2,3,1,1,1,3,0
macho,0,0,0,0,0,0,0,0,0,0,0,1
mad,0,10,0,1,3,0,2,3,1,14,1,3
madden,0,1,0,0,0,0,1,0,0,0,1,0
madder,0,1,0,0,0,0,0,0,0,0,0,0
maddogge,0,0,0,0,0,0,0,0,0,0,0,1
madhouse,0,0,1,0,0,0,0,0,0,0,0,0
madness,0,0,1,0,0,0,0,2,0,0,0,0
madonna,0,0,0,0,0,10,0,0,0,0,0,0
magazine,1,0,0,1,0,1,1,0,0,0,0,2
magic,0,0,1,8,0,1,0,0,1,0,0,2
magical,0,0,0,0,0,0,1,0,2,0,0,0
magneto,0,0,0,0,0,0,0,1,0,0,0,0
magnificent,0,0,1,0,0,0,1,0,0,0,0,0
mahatma,0,0,0,0,0,0,0,1,0,0,0,0
maher,0,0,0,0,0,0,0,4,0,0,0,0
maid,0,0,0,0,0,0,1,0,0,0,0,0
maidana,0,1,0,0,0,0,0,0,0,0,0,0
mail,2,0,1,0,0,0,0,0,0,0,2,0
main,0,0,1,0,0,1,0,0,0,0,1,0
mainly,0,0,1,0,0,0,0,0,0,0,0,0
mainstream,0,0,0,1,0,0,0,0,0,0,0,0
maintain,0,0,0,0,1,0,0,0,0,0,0,0
major,0,2,0,0,0,0,0,0,1,0,0,0
majority,0,0,0,1,0,0,0,0,0,0,0,0
make,10,24,25,14,46,13,11,21,19,22,34,40
makeout,0,0,0,0,0,0,0,0,0,0,3,0
makin,0,0,0,0,0,0,0,0,2,0,0,0
making,0,0,0,0,0,0,0,0,0,0,1,0
male,2,0,3,2,1,0,1,0,2,0,1,0
mall,2,0,0,1,0,1,0,1,0,0,0,0
malo,0,0,0,0,0,0,0,1,0,0,0,0
malt,0,0,0,0,0,0,0,0,1,0,0,0
mamma,0,0,0,1,0,0,0,0,0,0,0,0
mammal,0,0,1,0,0,0,0,0,0,0,0,0
man,13,41,13,20,20,35,13,15,18,4,5,42
management,0,0,0,0,0,0,0,1,0,0,0,0
manager,0,0,0,0,2,2,0,1,0,1,0,0
manchester,0,0,0,0,0,1,0,0,0,0,0,0
manchurian,0,0,0,0,1,0,0,0,0,0,0,0
mandatory,0,0,0,0,0,0,0,1,0,0,0,0
mango,0,0,0,0,0,0,0,0,5,0,0,0
manhattan,0,0,0,0,0,0,0,2,0,0,0,0
manhood,0,1,0,0,0,0,0,0,0,0,0,2
maniac,0,0,0,0,1,0,0,0,0,0,1,0
manic,0,0,0,0,0,0,0,0,0,0,1,0
manikin,0,0,0,1,0,0,0,0,0,0,0,0
manipulate,0,0,0,0,0,0,0,0,0,0,0,1
manipulation,0,0,0,0,0,0,0,0,1,0,0,0
manly,0,0,0,1,0,0,0,0,0,0,0,0
manned,0,0,0,0,0,0,0,0,0,0,0,1
manny,0,2,0,0,0,0,0,0,0,0,0,0
mantis,0,0,0,0,0,0,0,0,0,0,0,1
mantle,0,0,0,0,0,0,0,0,0,2,0,0
manual,0,0,0,0,0,0,0,0,3,0,0,0
manufacture,1,0,0,0,0,0,0,0,0,0,0,0
map,0,0,0,0,1,0,0,0,0,0,1,2
mappedout,0,0,0,0,0,1,0,0,0,0,0,0
mar,0,0,0,0,0,0,0,0,0,0,0,15
marathon,0,0,0,0,0,0,0,0,0,2,0,0
marble,1,0,0,0,0,0,0,0,0,0,0,5
march,0,0,0,0,0,1,1,3,0,0,0,0
marching,0,1,0,0,0,0,0,0,0,0,0,0
marco,0,1,0,0,0,0,0,0,0,0,0,0
marijuana,0,0,0,0,0,0,2,0,0,0,0,0
marin,0,0,0,0,0,0,0,0,0,0,0,1
mario,0,0,0,0,0,0,0,2,0,0,0,0
mark,0,0,0,1,0,0,0,2,0,2,0,1
marker,0,0,0,0,0,0,1,0,0,0,0,0
market,0,0,0,0,0,2,0,0,0,0,0,0
marketing,0,0,1,1,0,0,0,0,0,0,0,0
marketplace,1,0,0,0,0,0,0,0,0,0,0,0
marriage,4,0,0,0,4,0,3,1,3,0,14,0
marrie,0,0,0,0,0,0,0,1,0,0,0,0
married,1,0,0,0,2,1,1,1,1,0,5,0
marry,1,0,0,0,3,1,8,15,7,0,6,0
mars,0,0,0,0,0,0,0,0,0,0,0,1
marsha,0,0,2,0,0,0,0,0,0,0,0,0
martha,0,0,0,1,0,0,0,0,0,0,0,0
martin,0,3,0,1,0,0,0,1,0,0,0,0
marty,0,0,0,0,0,0,2,0,0,0,0,0
mary,0,0,0,0,0,0,4,0,0,0,0,0
masculinity,0,1,0,0,0,0,0,0,0,0,0,0
mash,0,0,1,0,0,0,0,0,0,0,0,0
mask,0,0,1,0,0,0,0,0,0,0,0,0
mass,0,0,0,0,0,0,3,0,0,0,0,0
massachusett,0,0,0,0,0,0,0,0,0,0,1,0
massacre,0,0,0,0,0,6,0,0,0,0,0,0
massage,0,0,0,0,0,0,0,0,1,0,0,0
masse,0,2,0,0,0,0,0,0,0,0,0,0
massive,1,0,0,0,0,0,0,0,0,0,0,0
master,0,0,0,0,1,0,0,0,0,0,0,0
masturbate,0,0,1,0,0,0,0,0,0,2,1,0
masturbation,0,0,0,1,0,0,0,0,0,0,0,0
mat,0,0,0,0,0,1,0,0,0,0,0,0
matador,0,0,0,0,0,0,1,0,0,0,0,0
match,1,1,1,0,0,0,0,2,0,0,1,0
mate,0,0,6,2,0,10,0,0,0,0,0,0
material,0,0,0,2,0,0,0,0,0,0,0,0
math,0,0,0,0,2,0,1,0,0,0,0,0
mathematic,0,0,0,0,0,0,0,0,0,0,1,0
mathematical,0,0,0,0,0,1,0,0,0,0,0,0
matrix,0,0,0,0,0,0,0,0,0,0,1,0
matt,0,0,0,0,0,0,0,0,0,0,0,1
matter,6,1,3,0,6,2,5,3,0,3,1,2
matthew,0,0,0,0,0,0,0,0,0,0,0,1
mattress,0,0,0,0,5,0,0,0,1,0,0,0
mature,0,0,0,1,0,0,0,0,0,0,0,0
maury,0,0,0,0,0,0,0,1,0,0,0,0
max,0,0,0,0,0,0,1,0,0,0,0,0
maybe,12,3,4,4,5,10,4,6,3,1,6,10
mayhem,1,0,0,0,0,0,0,0,0,0,0,0
mayor,0,1,0,0,0,0,0,0,0,0,0,0
mayoral,0,0,0,0,2,0,0,0,0,0,0,0
mayweather,0,2,0,0,0,0,0,0,0,0,0,0
mc,0,0,0,0,0,0,0,0,0,0,1,0
mcat,0,0,0,0,0,0,0,1,0,0,0,0
mccarthy,0,0,1,0,0,0,0,0,0,0,0,0
mcconaughey,0,0,0,0,0,0,0,0,0,0,0,1
mcdonald,0,0,0,0,0,0,6,0,0,0,0,0
mcfly,0,0,0,0,0,0,1,0,0,0,0,0
mcmansion,0,0,0,0,0,0,0,1,0,0,0,0
meal,0,0,0,0,0,1,0,0,1,0,0,0
mean,21,13,21,7,5,8,19,11,10,7,29,17
meaning,0,0,0,1,0,0,0,0,0,0,0,0
meaningful,0,0,0,0,0,0,0,0,0,0,1,0
meantime,0,0,0,1,0,0,0,0,0,0,0,0
measure,0,0,0,0,0,0,0,0,0,0,0,2
measurement,0,0,0,0,0,0,0,0,0,0,0,1
meat,1,0,3,1,0,0,0,0,0,0,0,0
med,0,0,0,0,0,0,0,3,0,0,0,0
medal,0,0,1,0,0,0,0,0,0,0,0,1
media,0,1,0,0,0,0,0,0,0,1,0,0
medical,0,0,2,0,0,0,0,0,0,0,1,0
medication,1,0,0,0,0,0,0,0,0,0,0,0
medicine,0,0,1,0,0,0,0,1,0,0,0,0
meditation,0,0,0,0,0,0,0,0,2,0,0,0
medium,0,1,1,0,0,0,0,0,0,1,0,0
meet,2,13,2,1,1,2,12,2,4,1,9,6
meeting,1,0,0,0,1,0,0,0,0,1,2,1
megarich,0,0,1,0,0,0,0,0,0,0,0,0
meh,0,0,0,1,0,0,0,0,0,0,0,0
mel,0,0,1,0,0,0,0,0,0,0,0,0
melanin,0,0,0,0,0,0,0,2,0,0,0,0
melbourne,0,0,0,0,0,1,0,0,0,0,0,0
melissa,0,0,1,0,0,0,0,0,0,2,0,0
melodramatic,0,0,0,0,0,0,0,2,0,0,0,0
melt,0,0,0,1,0,0,1,0,1,0,0,0
member,0,0,0,0,3,0,1,0,0,0,2,0
membrane,1,0,0,0,0,0,0,0,0,0,0,0
meme,0,0,0,0,0,0,0,0,0,0,0,1
memorial,0,1,0,0,0,1,0,0,0,0,0,0
memorize,0,0,0,0,0,0,0,1,0,0,0,0
memory,0,1,0,0,1,0,1,3,0,1,0,0
men,0,0,0,0,0,0,0,0,0,0,0,2
mend,0,0,1,0,0,0,0,0,0,0,0,0
mental,0,1,2,0,0,2,0,0,0,0,0,0
mentally,0,0,0,0,0,1,0,0,0,0,0,0
mention,0,0,0,0,1,0,1,0,0,0,0,0
menu,0,0,0,2,0,0,0,0,0,0,0,0
mercede,0,0,0,0,0,0,0,0,0,0,1,0
merchandise,0,0,0,0,0,1,0,0,0,0,0,0
mere,0,0,0,0,0,0,0,1,0,0,0,0
merger,0,0,0,0,0,0,0,1,0,0,0,0
merit,0,1,0,0,0,0,0,0,0,0,0,0
mescaline,0,1,0,0,0,0,0,0,0,0,0,0
mess,1,0,0,0,0,0,0,0,2,0,4,0
message,0,0,1,0,0,1,0,2,1,1,2,0
mesus,0,0,0,0,0,0,0,0,0,0,0,3
metabolism,0,0,0,0,0,0,0,0,1,0,0,0
metabolite,0,0,0,0,0,0,0,0,0,0,0,1
metal,0,0,0,0,2,0,0,0,0,0,0,4
metamorphosize,0,0,0,0,0,0,0,0,1,0,0,0
metaphor,0,0,0,1,1,0,0,0,0,0,0,0
metaphorically,0,0,1,0,0,0,0,0,0,0,0,0
metaphos,0,0,0,1,0,0,0,0,0,0,0,0
meter,0,0,0,0,1,0,0,0,0,0,0,0
method,0,0,0,0,0,1,0,0,0,0,0,0
methodist,0,0,0,0,0,0,0,0,0,1,0,0
mexican,0,1,0,0,0,0,0,1,3,0,0,0
miami,0,1,0,0,0,3,0,0,0,0,0,0
michael,2,1,0,0,1,0,0,1,0,0,0,1
michigan,0,1,0,0,0,0,0,0,0,0,0,0
mickey,0,0,0,0,0,0,0,0,0,2,0,0
micorphone,0,0,0,1,0,0,0,0,0,0,0,0
microtechnology,1,0,0,0,0,0,0,0,0,0,0,0
mid,0,0,0,1,0,0,0,0,0,0,0,0
middle,3,0,1,0,2,0,1,5,1,0,2,4
middleage,0,0,1,0,0,0,0,0,0,0,0,0
midlife,0,0,0,0,0,0,0,0,1,0,0,0
mighty,0,0,0,0,0,0,1,0,0,0,0,0
mike,0,0,0,0,1,1,0,0,0,0,6,0
mikey,0,0,0,0,0,0,0,0,0,3,0,0
mile,2,1,2,0,3,0,0,2,0,1,0,0
militia,0,0,0,0,0,2,0,0,0,0,0,0
milk,2,0,1,0,0,0,7,2,0,0,0,0
million,3,4,5,2,2,1,2,0,0,2,0,8
milly,0,0,0,3,0,0,0,0,0,0,0,0
mime,0,0,0,1,0,0,0,0,0,0,0,0
minaja,0,0,0,0,0,0,0,1,0,0,0,0
mind,0,5,4,0,7,1,0,6,3,3,2,0
mindcontrolle,0,1,0,0,0,0,0,0,0,0,0,0
mindexpande,0,1,0,0,0,0,0,0,0,0,0,0
mindstyle,0,0,0,0,0,0,1,0,0,0,0,0
minefield,0,0,1,0,0,0,0,0,0,0,0,0
miner,4,0,0,0,0,0,0,0,0,0,0,0
minha,0,0,0,0,0,0,0,1,0,0,0,0
minhaj,0,0,0,0,0,0,0,5,0,0,0,0
minhajj,0,0,0,0,0,0,0,1,0,0,0,0
miniature,0,0,1,0,0,0,0,0,0,0,0,0
minimum,0,0,0,0,0,1,0,0,0,0,0,0
minion,0,0,0,0,0,0,0,0,1,0,0,0
minivan,0,0,0,0,0,0,1,0,0,0,0,0
minor,1,1,0,1,0,0,0,0,0,0,0,0
mint,0,0,0,0,0,0,0,0,0,1,0,0
minus,0,0,0,0,0,0,0,1,0,0,0,0
minute,3,6,6,0,4,1,0,6,1,0,9,3
miracle,0,0,2,0,0,0,0,0,1,0,0,0
mirren,0,0,1,0,0,0,0,0,0,0,0,0
mirror,0,2,2,1,0,0,0,0,0,0,4,0
miscarriage,0,0,0,0,0,0,0,0,4,0,0,0
mischa,0,0,0,0,0,0,4,0,0,0,0,0
misdemeanor,1,0,0,0,0,0,0,0,0,0,0,0
miserable,0,0,0,0,2,0,0,0,0,0,0,0
miserably,0,1,0,0,0,0,0,0,0,0,0,0
mishmash,1,0,0,0,0,0,0,0,0,0,0,0
misogynistic,0,0,0,0,0,1,0,0,0,0,0,0
miss,1,4,2,1,2,3,1,4,0,0,9,2
missin,0,0,0,1,0,0,0,0,0,0,0,0
missing,0,1,0,0,0,0,0,0,0,0,0,0
mission,0,0,0,0,0,0,0,0,0,0,0,2
missionarystyle,0,0,0,0,2,0,0,0,0,0,0,0
mississippi,0,1,0,0,0,0,0,0,0,1,0,0
missy,0,0,0,0,0,1,0,0,0,0,0,0
mistake,0,0,3,0,0,0,0,0,0,2,1,0
mister,0,0,0,0,1,0,0,0,0,0,0,0
mistreat,0,0,0,0,0,1,0,0,0,0,0,0
misunderstanding,0,0,0,0,0,0,0,0,0,0,3,0
mitten,0,0,0,0,1,0,0,0,0,0,0,0
mix,0,0,1,0,0,0,0,1,0,0,1,1
miyagi,0,0,0,0,0,0,0,1,0,0,0,0
mj,0,0,0,0,0,0,0,1,0,0,0,0
mma,0,0,0,0,2,0,0,0,0,0,0,0
mmm,0,0,0,0,0,0,4,0,2,0,0,2
mnhmnh,0,0,0,0,0,0,0,0,0,0,0,2
moan,0,0,0,0,2,0,0,0,0,0,0,1
mobile,0,0,0,0,0,0,0,0,0,0,1,0
moccasin,0,0,0,0,0,0,0,0,0,0,1,0
mock,0,0,0,0,0,0,0,0,0,0,0,1
mockingbird,1,0,0,0,0,0,0,0,0,0,0,0
mode,0,1,0,0,0,0,0,1,0,0,0,0
model,0,0,1,1,0,4,0,0,0,0,0,0
moderation,1,0,0,0,0,0,0,0,0,0,0,0
modern,0,0,0,0,0,0,0,0,0,1,0,1
moisten,0,0,0,0,0,0,0,0,1,0,0,0
molasse,0,0,0,0,0,0,1,0,0,0,0,0
molest,0,0,1,0,0,0,0,0,0,1,0,0
molestation,0,0,0,0,0,0,1,0,0,0,0,0
molester,0,0,0,0,0,0,0,0,0,2,0,1
moly,1,0,0,0,0,0,0,0,0,0,0,0
mom,4,0,1,1,3,0,23,26,9,11,1,7
moment,3,0,0,5,2,6,4,3,3,3,6,5
momentum,1,0,0,0,2,0,0,0,0,0,0,0
mommy,0,0,0,0,0,0,0,0,1,0,0,0
monday,0,1,0,0,0,1,0,3,0,1,0,0
money,1,15,8,2,1,9,4,3,6,12,6,5
monica,0,4,0,0,1,0,1,0,0,0,0,1
monkey,0,0,0,2,0,0,0,0,0,0,0,1
monogamy,0,0,0,0,0,0,0,0,0,0,1,0
monster,0,0,0,0,0,0,0,0,0,1,0,1
montage,0,0,0,0,0,0,0,0,0,0,1,0
montague,0,0,0,0,0,0,0,1,0,0,0,0
month,1,0,1,0,0,6,4,0,7,6,4,4
monthly,0,0,0,0,0,1,0,0,0,0,0,0
montreal,1,0,0,0,0,0,0,0,0,0,0,0
moo,0,0,0,0,0,0,0,0,0,0,2,0
moody,0,0,0,0,1,0,0,0,0,0,0,0
moon,0,0,0,0,0,0,1,0,0,0,0,0
moonwalke,0,0,0,0,1,0,0,0,0,0,0,0
moral,0,0,0,1,0,0,1,0,0,0,0,0
morallyupright,0,0,0,0,0,0,1,0,0,0,0,0
mormon,1,0,0,0,0,0,0,0,0,0,0,6
morning,4,0,0,1,6,5,2,2,0,1,10,2
moron,0,0,0,0,1,1,0,0,0,0,0,1
morph,0,0,0,0,0,0,0,0,0,0,0,2
mortal,0,0,0,0,0,0,0,1,0,0,0,0
mortality,0,0,0,0,0,0,1,1,0,0,0,0
mortgage,1,0,0,0,0,0,1,0,0,0,0,0
motel,1,0,0,0,0,0,0,0,0,0,0,0
mother,0,2,0,4,3,12,0,1,1,1,0,1
motherfuck,0,1,0,0,0,0,0,0,0,0,0,0
motherfucke,0,2,0,0,0,0,0,1,0,0,0,0
motherfucker,1,15,0,0,1,0,2,0,1,0,0,4
motherfuckjananam,0,0,0,0,0,0,0,1,0,0,0,0
motherinlaw,0,1,0,0,0,0,0,0,0,0,0,0
motherland,0,0,0,0,0,0,0,1,0,0,0,0
motherless,1,0,0,0,0,0,0,0,0,0,0,0
motion,1,0,0,0,0,0,0,0,0,0,0,0
motivational,0,0,0,0,0,0,0,0,0,0,1,0
motor,0,1,0,0,0,0,0,0,0,0,0,0
motorcycle,0,0,0,0,0,0,1,0,0,0,0,0
mount,0,0,0,0,0,0,0,0,0,1,0,0
mountain,0,0,1,0,0,0,0,0,0,0,0,2
mouse,0,0,1,0,1,0,0,0,0,0,0,0
mousetrap,0,1,0,0,0,0,0,0,0,0,0,0
mousetrapinthepussy,0,1,0,0,0,0,0,0,0,0,0,0
mouth,3,0,0,1,1,4,0,0,0,2,7,1
movement,0,2,0,0,0,0,0,0,0,0,0,0
movie,1,3,1,2,3,5,13,3,2,2,0,1
mow,0,0,0,0,1,0,1,0,0,0,0,0
mr,0,8,4,4,0,2,9,6,0,0,0,1
mrp,0,0,0,0,0,0,0,1,0,0,0,0
mrs,0,0,0,0,0,0,0,3,1,0,0,0
mtv,0,0,0,0,0,0,2,0,0,0,0,0
mucus,0,0,0,0,0,0,0,0,1,0,0,0
mud,0,0,1,0,0,0,0,0,0,0,0,0
muffle,0,0,0,0,0,0,0,0,1,0,0,0
mug,0,0,2,0,0,3,0,0,0,0,0,0
muhammad,0,0,0,0,0,0,0,0,0,0,0,3
mulaney,0,0,0,0,0,0,3,0,0,0,0,0
mulch,0,0,0,0,1,0,0,0,0,0,0,0
multiple,0,0,0,0,1,0,0,0,1,0,0,0
mum,0,0,7,0,0,1,0,0,0,0,0,0
murder,23,1,0,0,0,4,0,0,0,2,0,0
murderer,1,4,1,0,1,0,0,0,0,0,0,1
murderous,0,0,0,0,1,0,0,0,0,0,0,0
